egin{table}
egin{tabular}{|l|c|}
\hline 
star	teff	erteff	logg	erlogg	vtur	ervtur	feh	erfeh	NFEI	NFEII	mass	logg_hip	lumsol	erloglumsol	Mv	planet	sums\\ \hline
7134	5940	14	4.41	0.02	1.17	0.02	-0.29	0.01	255	33	0.941	4.33	1.367	0.032	4.44	no	585.4\\ \hline
7199	5386	45	4.34	0.08	1.01	0.07	0.28	0.03	257	36	0.888	4.41	0.697	0.022	5.29	no	863.0\\ \hline
7449	6024	13	4.51	0.03	1.11	0.01	-0.11	0.01	250	35	1.053	4.46	1.197	0.026	4.57	no	847.2\\ \hline
8326	4971	79	4.48	0.15	0.81	0.22	0.02	0.04	256	34	0.716	4.54	0.312	0.032	6.29	no	255.0\\ \hline
8389A	5283	64	4.37	0.12	1.06	0.12	0.34	0.05	255	36	0.863	4.41	0.617	0.026	5.45	no	276.5\\ \hline
8406	5726	12	4.50	0.01	0.87	0.02	-0.10	0.01	250	34	0.953	4.51	0.785	0.034	5.08	no	388.4\\ \hline
8638	5507	26	4.43	0.05	0.74	0.04	-0.38	0.02	260	32	0.744	4.39	0.694	0.043	5.26	no	262.1\\ \hline
8828	5403	25	4.46	0.03	0.72	0.05	-0.16	0.02	255	34	0.822	4.52	0.524	0.026	5.59	no	356.4\\ \hline
8859	5502	18	4.41	0.04	0.77	0.03	-0.09	0.01	253	35	0.858	4.49	0.635	0.035	5.36	no	161.5\\ \hline
8912	5211	42	4.43	0.07	0.70	0.09	-0.07	0.03	256	33	0.885	4.65	0.361	0.038	6.05	no	218.4\\ \hline
9246	4999	40	4.49	0.08	0.13	0.31	-0.53	0.02	255	32	0.729	4.73	0.212	0.043	6.70	no	106.1\\ \hline
9782	6023	19	4.42	0.02	1.09	0.02	0.09	0.01	256	34	1.115	4.40	1.460	0.030	4.36	no	386.3\\ \hline
9796	5179	28	4.38	0.06	0.66	0.07	-0.25	0.02	253	34	0.748	4.56	0.365	0.034	6.05	no	368.7\\ \hline
10002	5313	44	4.40	0.07	0.82	0.09	0.17	0.03	260	36	0.844	4.46	0.581	0.032	5.51	no	143.4\\ \hline
10166	5221	31	4.48	0.07	0.74	0.07	-0.39	0.02	251	34	0.886	4.81	0.255	0.052	6.43	no	118.1\\ \hline
10180	5911	19	4.39	0.03	1.11	0.02	0.08	0.01	261	35	1.058	4.33	1.485	0.021	4.35	no	1677.0\\ \hline
10647	6218	20	4.62	0.04	1.22	0.02	0.00	0.01	245	35	1.202	4.48	1.473	0.010	4.32	yes	1252.1\\ \hline
10700	5310	17	4.44	0.03	0.55	0.04	-0.52	0.01	251	34	0.627	4.40	0.495	0.003	5.68	no	2034.7\\ \hline
11226	6098	14	4.35	0.02	1.28	0.01	0.04	0.01	256	35	1.171	4.26	2.196	0.034	3.90	no	672.5\\ \hline
11505	5752	10	4.38	0.02	0.99	0.01	-0.22	0.01	250	34	0.893	4.28	1.269	0.035	4.55	no	462.7\\ \hline
11683	5007	47	4.42	0.11	0.60	0.13	-0.21	0.03	256	33	0.689	4.55	0.301	0.039	6.31	no	60.8\\ \hline
11964A	5332	22	3.90	0.03	0.99	0.02	0.08	0.02	252	35	0.880	3.79	2.872	0.027	3.76	yes	1387.2\\ \hline
12345	5395	29	4.44	0.04	0.69	0.06	-0.21	0.02	260	32	0.812	4.53	0.500	0.044	5.64	no	178.3\\ \hline
12387	5700	18	4.39	0.05	0.93	0.03	-0.24	0.01	260	34	0.865	4.28	1.172	0.026	4.65	no	958.7\\ \hline
12617	4890	91	4.46	0.18	0.75	0.31	0.10	0.07	254	34	0.749	4.61	0.262	0.032	6.53	no	334.2\\ \hline
13060	5255	45	4.34	0.09	0.82	0.08	0.02	0.03	257	34	0.863	4.58	0.426	0.030	5.86	no	431.9\\ \hline
13724	5868	27	4.52	0.03	1.02	0.03	0.23	0.02	255	34	1.103	4.47	1.085	0.032	4.70	no	808.2\\ \hline
13789	4740	71	4.33	0.17	0.79	0.26	-0.06	0.06	253	32	0.000	-inf	0.232	0.023	6.75	no	454.2\\ \hline
13808	5087	41	4.40	0.08	0.77	0.09	-0.20	0.03	251	34	0.699	4.50	0.368	0.020	6.08	no	1014.8\\ \hline
14374	5425	24	4.48	0.04	0.81	0.04	-0.04	0.02	252	35	0.860	4.52	0.559	0.038	5.51	no	470.1\\ \hline
14635	4806	87	4.45	0.20	0.78	0.26	-0.03	0.04	254	33	0.782	4.73	0.190	0.032	6.93	no	131.8\\ \hline
14680	5011	56	4.46	0.12	0.69	0.15	-0.17	0.03	255	34	0.735	4.61	0.282	0.030	6.38	no	156.4\\ \hline
14744	4923	51	4.45	0.10	0.44	0.24	-0.13	0.03	255	33	0.629	4.46	0.316	0.049	6.31	no	145.1\\ \hline
14747	5516	16	4.43	0.02	0.72	0.03	-0.39	0.01	257	33	0.743	4.36	0.734	0.023	5.19	no	420.7\\ \hline
15337	5179	44	4.39	0.09	0.70	0.10	0.06	0.03	252	36	0.870	4.61	0.379	0.042	6.01	no	172.1\\ \hline
16141	5806	17	4.19	0.02	1.11	0.01	0.16	0.01	254	34	1.057	4.17	1.988	0.043	4.05	yes	310.4\\ \hline
16270	4786	92	4.39	0.21	0.84	0.27	0.06	0.04	255	34	0.617	4.53	0.237	0.019	6.70	no	175.3\\ \hline
16297	5422	22	4.47	0.04	0.80	0.04	-0.01	0.02	249	34	0.844	4.46	0.619	0.037	5.41	no	439.2\\ \hline
16417	5841	17	4.16	0.02	1.18	0.01	0.13	0.01	259	35	1.211	4.12	2.630	0.014	3.74	no	995.5\\ \hline
16714	5518	18	4.42	0.03	0.76	0.03	-0.20	0.01	256	34	0.819	4.44	0.674	0.031	5.29	no	231.1\\ \hline
17051	6227	26	4.53	0.06	1.29	0.03	0.19	0.02	251	35	1.265	4.46	1.622	0.008	4.22	yes	624.1\\ \hline
17970	5040	48	4.39	0.08	0.29	0.24	-0.45	0.04	261	32	0.480	4.28	0.398	0.020	6.01	no	338.1\\ \hline
18386	5457	29	4.39	0.05	0.92	0.04	0.14	0.02	258	35	0.998	4.60	0.549	0.040	5.53	no	523.2\\ \hline
18719	5241	32	4.41	0.06	0.92	0.06	-0.08	0.02	255	33	0.773	4.50	0.457	0.043	5.79	no	477.4\\ \hline
19034	5477	15	4.40	0.03	0.69	0.03	-0.48	0.01	250	33	0.704	4.38	0.647	0.037	5.34	no	359.2\\ \hline
19467	5720	10	4.31	0.01	0.96	0.01	-0.14	0.01	251	34	0.906	4.25	1.363	0.025	4.48	no	537.9\\ \hline
19994	6289	46	4.48	0.05	1.72	0.05	0.24	0.03	246	35	1.369	4.15	3.682	0.015	3.32	yes	2001.8\\ \hline
20003	5494	27	4.41	0.05	0.83	0.04	0.04	0.02	254	36	0.875	4.44	0.722	0.028	5.22	no	457.2\\ \hline
20407	5866	14	4.50	0.01	1.09	0.02	-0.44	0.01	243	31	0.861	4.41	0.976	0.012	4.82	no	544.3\\ \hline
20619	5703	13	4.51	0.02	0.92	0.02	-0.22	0.01	250	33	0.892	4.48	0.780	0.021	5.09	no	697.3\\ \hline
20781	5256	29	4.37	0.05	0.78	0.05	-0.11	0.02	252	34	0.760	4.47	0.491	0.038	5.70	no	412.1\\ \hline
20782	5774	14	4.37	0.01	1.00	0.01	-0.06	0.01	254	34	0.947	4.32	1.234	0.028	4.58	yes	692.2\\ \hline
20794	5401	17	4.40	0.03	0.67	0.03	-0.40	0.01	250	33	0.701	4.35	0.656	0.003	5.35	no	2033.7\\ \hline
20807	5866	11	4.52	0.03	1.04	0.01	-0.23	0.01	250	33	0.948	4.46	0.964	0.006	4.83	no	1473.7\\ \hline
21019	5468	13	3.93	0.02	1.05	0.01	-0.45	0.01	251	32	0.819	3.65	4.009	0.027	3.36	no	518.4\\ \hline
21209A	4671	65	4.31	0.15	0.54	0.31	-0.41	0.04	253	32	0.598	4.60	0.175	0.030	7.10	no	262.4\\ \hline
21411	5473	18	4.51	0.03	0.81	0.03	-0.26	0.01	251	33	0.791	4.46	0.615	0.027	5.40	no	262.6\\ \hline
21693	5430	26	4.37	0.04	0.76	0.04	0.00	0.02	255	36	0.853	4.47	0.618	0.020	5.40	no	705.4\\ \hline
21749	4723	143	4.40	0.33	0.53	0.74	-0.02	0.08	254	32	0.759	4.70	0.185	0.020	7.01	no	736.6\\ \hline
21938	5778	18	4.38	0.02	0.99	0.03	-0.47	0.01	253	33	0.813	4.31	1.092	0.025	4.71	no	310.9\\ \hline
22049	5153	42	4.53	0.07	0.90	0.09	-0.11	0.03	253	34	0.855	4.66	0.327	0.002	6.18	yes	889.9\\ \hline
22610	5043	43	4.44	0.09	0.88	0.10	-0.22	0.03	255	34	0.791	4.65	0.283	0.033	6.38	no	151.9\\ \hline
22879	5857	27	4.46	0.02	1.23	0.06	-0.83	0.02	222	32	0.738	4.34	1.041	0.018	4.75	no	934.0\\ \hline
23079	5980	12	4.48	0.02	1.12	0.01	-0.12	0.01	252	35	1.009	4.36	1.378	0.017	4.42	yes	1126.9\\ \hline
23249	5150	51	3.89	0.08	1.01	0.06	0.13	0.04	255	36	0.826	3.66	3.109	0.007	3.74	no	2032.9\\ \hline
23356	5004	60	4.50	0.11	0.87	0.15	-0.17	0.03	256	33	0.719	4.59	0.288	0.011	6.36	no	703.5\\ \hline
23456	6178	18	4.56	0.03	1.38	0.03	-0.32	0.01	237	34	1.027	4.33	1.737	0.020	4.15	no	693.2\\ \hline
24331	4965	46	4.51	0.09	0.53	0.14	-0.31	0.02	254	32	0.676	4.58	0.264	0.020	6.48	no	244.8\\ \hline
24892	5363	15	3.99	0.04	0.88	0.02	-0.32	0.01	256	33	0.771	3.81	2.431	0.027	3.94	no	358.8\\ \hline
25105	5316	31	4.47	0.06	0.77	0.06	-0.15	0.02	256	33	0.805	4.54	0.461	0.027	5.75	no	293.4\\ \hline
25120	5134	39	4.47	0.08	0.87	0.07	-0.18	0.02	252	32	0.749	4.56	0.354	0.021	6.10	no	390.3\\ \hline
25565	5212	52	4.47	0.09	0.80	0.10	0.03	0.03	257	34	0.935	4.67	0.367	0.038	6.03	no	145.1\\ \hline
25673	5136	37	4.47	0.07	0.56	0.11	-0.50	0.02	257	33	0.767	4.71	0.257	0.055	6.45	no	280.0\\ \hline
26965A	5153	38	4.39	0.08	0.36	0.13	-0.31	0.03	251	33	0.670	4.45	0.418	0.004	5.92	no	2016.5\\ \hline
27063	5767	14	4.44	0.03	0.94	0.02	0.05	0.01	253	35	1.073	4.56	0.804	0.034	5.04	no	1013.0\\ \hline
27894	4952	105	4.39	0.20	0.78	0.35	0.20	0.08	255	36	0.716	4.50	0.336	0.033	6.22	yes	420.6\\ \hline
28185	5667	23	4.42	0.04	0.94	0.03	0.21	0.02	254	35	0.983	4.39	1.011	0.037	4.81	yes	585.8\\ \hline
28471	5745	14	4.37	0.01	0.95	0.02	-0.05	0.01	251	34	0.937	4.36	1.097	0.024	4.71	no	544.4\\ \hline
28701	5710	12	4.41	0.02	0.95	0.02	-0.32	0.01	253	33	0.840	4.29	1.138	0.023	4.68	no	654.1\\ \hline
28821	5660	13	4.38	0.01	0.88	0.02	-0.12	0.01	256	35	0.878	4.33	1.054	0.033	4.77	no	491.5\\ \hline
30278	5394	29	4.39	0.04	0.72	0.05	-0.17	0.02	260	32	0.779	4.43	0.606	0.014	5.44	no	712.5\\ \hline
30306	5529	26	4.32	0.04	0.89	0.04	0.17	0.02	259	35	0.912	4.33	0.988	0.022	4.87	no	448.3\\ \hline
31527	5898	13	4.45	0.02	1.09	0.01	-0.17	0.01	257	35	0.962	4.38	1.196	0.027	4.59	no	435.7\\ \hline
31560	4751	86	4.33	0.19	0.64	0.32	-0.07	0.04	254	33	0.681	4.61	0.209	0.014	6.86	no	281.9\\ \hline
31822	6042	16	4.57	0.03	1.15	0.02	-0.19	0.01	251	33	1.106	4.56	1.003	0.035	4.76	no	424.5\\ \hline
32724	5818	13	4.26	0.02	1.14	0.01	-0.17	0.01	255	35	0.958	4.14	1.967	0.033	4.06	no	487.9\\ \hline
33725	5274	30	4.41	0.05	0.71	0.06	-0.17	0.02	253	32	0.747	4.45	0.501	0.030	5.68	no	333.6\\ \hline
34449	5848	17	4.50	0.03	0.92	0.02	-0.09	0.01	254	34	1.035	4.55	0.851	0.025	4.97	no	320.9\\ \hline
34688	5169	39	4.44	0.06	0.70	0.09	-0.20	0.02	255	34	0.801	4.61	0.347	0.047	6.11	no	212.3\\ \hline
35854	4928	56	4.46	0.11	0.54	0.17	-0.13	0.03	251	34	0.672	4.54	0.281	0.012	6.43	no	474.0\\ \hline
36003	4647	88	4.31	0.21	0.42	0.55	-0.20	0.06	253	30	0.604	4.59	0.181	0.010	7.08	no	2001.3\\ \hline
36108	5916	12	4.33	0.03	1.21	0.01	-0.21	0.01	254	35	0.983	4.18	1.985	0.025	4.04	no	497.5\\ \hline
36379	6030	14	4.30	0.02	1.29	0.02	-0.17	0.01	252	35	1.052	4.17	2.326	0.031	3.85	no	913.7\\ \hline
37962	5718	15	4.48	0.04	0.84	0.02	-0.20	0.01	253	33	0.894	4.45	0.837	0.022	5.01	no	364.2\\ \hline
37986	5507	38	4.29	0.06	0.92	0.05	0.26	0.03	253	36	0.935	4.43	0.771	0.022	5.14	no	418.2\\ \hline
38277	5871	10	4.34	0.02	1.10	0.01	-0.07	0.01	258	34	1.006	4.21	1.824	0.026	4.14	no	468.1\\ \hline
38382	6082	19	4.45	0.02	1.18	0.02	0.03	0.01	256	35	1.125	4.40	1.521	0.016	4.30	no	290.1\\ \hline
38858	5733	12	4.51	0.01	0.94	0.02	-0.22	0.01	251	33	0.897	4.46	0.835	0.016	5.01	no	1154.2\\ \hline
38973	6016	17	4.42	0.02	1.14	0.02	0.05	0.01	257	35	1.092	4.37	1.494	0.013	4.33	no	807.0\\ \hline
39091	6003	17	4.42	0.03	1.12	0.02	0.09	0.01	254	34	1.097	4.38	1.473	0.007	4.35	yes	929.7\\ \hline
39194	5205	23	4.53	0.05	0.37	0.09	-0.61	0.02	251	31	0.587	4.47	0.363	0.017	6.05	no	958.1\\ \hline
40105	5137	36	3.85	0.05	0.97	0.05	0.06	0.02	249	34	0.810	3.68	2.905	0.017	3.82	no	1208.2\\ \hline
40307	4977	59	4.47	0.16	0.53	0.20	-0.31	0.03	253	33	0.767	4.71	0.228	0.006	6.63	no	2009.0\\ \hline
40397	5527	20	4.39	0.04	0.83	0.03	-0.13	0.01	257	34	0.830	4.40	0.755	0.019	5.16	no	429.9\\ \hline
44120	6052	15	4.25	0.02	1.31	0.01	0.12	0.01	254	35	1.241	4.16	2.822	0.016	3.64	no	610.6\\ \hline
44420	5818	22	4.37	0.03	1.06	0.03	0.29	0.02	257	34	1.069	4.37	1.244	0.033	4.56	no	521.5\\ \hline
44447	5999	14	4.37	0.02	1.26	0.02	-0.22	0.01	248	34	1.002	4.26	1.783	0.014	4.14	no	755.3\\ \hline
44573	5071	56	4.48	0.10	0.80	0.13	-0.07	0.03	252	34	0.814	4.63	0.315	0.027	6.26	no	675.7\\ \hline
44594	5840	14	4.38	0.02	1.06	0.01	0.15	0.01	249	34	1.042	4.38	1.240	0.012	4.56	no	693.1\\ \hline
45184	5869	14	4.47	0.02	1.03	0.01	0.04	0.01	253	34	1.031	4.43	1.133	0.012	4.65	no	1487.7\\ \hline
45289	5717	18	4.32	0.01	0.99	0.02	-0.02	0.01	255	34	0.948	4.25	1.411	0.013	4.44	no	631.6\\ \hline
45364	5434	20	4.38	0.03	0.71	0.03	-0.17	0.01	254	34	0.819	4.50	0.557	0.023	5.51	no	1104.1\\ \hline
47186	5675	21	4.36	0.04	0.93	0.02	0.23	0.02	252	34	0.990	4.36	1.080	0.029	4.74	no	1344.0\\ \hline
48611	5337	23	4.51	0.04	0.69	0.05	-0.36	0.02	256	33	0.734	4.51	0.454	0.084	5.77	no	419.5\\ \hline
50590	4870	67	4.39	0.14	0.35	0.28	-0.22	0.04	251	33	0.633	4.50	0.275	0.038	6.49	no	205.4\\ \hline
50806	5633	15	4.11	0.03	1.03	0.01	0.03	0.01	251	35	0.961	4.04	2.169	0.014	3.99	no	1904.1\\ \hline
51608	5358	22	4.36	0.05	0.73	0.04	-0.07	0.01	249	34	0.798	4.45	0.572	0.019	5.51	no	713.0\\ \hline
52265	6136	31	4.36	0.03	1.32	0.03	0.21	0.02	255	35	1.204	4.34	1.912	0.020	4.05	yes	290.2\\ \hline
52919	4698	91	4.37	0.20	0.67	0.34	-0.17	0.04	258	33	0.675	4.64	0.186	0.018	7.02	no	410.5\\ \hline
55693	5914	26	4.43	0.04	1.07	0.03	0.29	0.02	251	35	1.117	4.34	1.515	0.025	4.33	no	927.9\\ \hline
59468	5618	20	4.39	0.03	0.88	0.02	0.03	0.01	256	35	0.913	4.40	0.894	0.010	4.96	no	2005.1\\ \hline
59711A	5722	13	4.46	0.02	0.86	0.02	-0.12	0.01	255	33	0.907	4.42	0.912	0.030	4.92	no	271.5\\ \hline
63454	4840	66	4.30	0.16	0.81	0.14	0.06	0.03	227	27	0.661	4.55	0.253	0.027	6.60	yes	249.4\\ \hline
63765	5432	19	4.42	0.03	0.82	0.03	-0.16	0.01	249	32	0.828	4.51	0.549	0.020	5.53	no	856.1\\ \hline
65216	5612	16	4.44	0.02	0.78	0.03	-0.17	0.01	256	34	0.874	4.48	0.707	0.021	5.21	yes	582.3\\ \hline
65277	4802	88	4.43	0.18	0.55	0.34	-0.31	0.04	257	32	0.492	4.49	0.207	0.022	6.84	no	480.3\\ \hline
65562	5076	47	4.39	0.09	0.45	0.18	-0.10	0.03	252	34	0.719	4.51	0.367	0.033	6.09	no	464.2\\ \hline
65907A	5945	16	4.52	0.02	1.05	0.02	-0.31	0.01	256	34	0.933	4.37	1.241	0.007	4.54	no	1120.9\\ \hline
66221	5635	25	4.40	0.04	0.92	0.03	0.17	0.02	260	35	0.961	4.40	0.948	0.039	4.89	no	536.3\\ \hline
66428	5705	27	4.31	0.06	0.96	0.03	0.25	0.02	258	35	1.011	4.31	1.284	0.059	4.55	yes	106.9\\ \hline
67458	5891	12	4.53	0.02	1.04	0.01	-0.16	0.01	256	35	0.978	4.45	1.024	0.017	4.76	no	926.5\\ \hline
68607	5215	45	4.41	0.08	0.82	0.08	0.07	0.03	251	35	0.814	4.52	0.448	0.035	5.82	no	775.3\\ \hline
68978A	5965	22	4.48	0.02	1.09	0.02	0.04	0.02	260	34	1.079	4.43	1.242	0.015	4.54	no	1148.7\\ \hline
69655	5961	12	4.44	0.03	1.15	0.01	-0.18	0.01	249	34	0.982	4.36	1.329	0.012	4.47	no	708.4\\ \hline
69830	5402	28	4.40	0.04	0.80	0.04	-0.06	0.02	255	36	0.821	4.46	0.596	0.008	5.45	yes	2012.1\\ \hline
70642	5668	22	4.40	0.04	0.82	0.03	0.18	0.01	253	36	0.978	4.42	0.955	0.015	4.88	yes	158.3\\ \hline
70889	6051	15	4.49	0.02	1.13	0.02	0.11	0.01	255	33	1.189	4.51	1.229	0.022	4.54	no	1025.3\\ \hline
71334	5694	13	4.37	0.03	0.95	0.02	-0.09	0.01	255	35	0.901	4.39	0.962	0.029	4.86	no	379.6\\ \hline
71479	6026	18	4.42	0.02	1.19	0.02	0.24	0.01	256	34	1.181	4.30	1.915	0.037	4.06	no	771.0\\ \hline
71835	5438	22	4.39	0.04	0.79	0.03	-0.04	0.02	252	34	0.839	4.46	0.629	0.029	5.38	no	434.8\\ \hline
72579	5449	30	4.27	0.04	0.84	0.04	0.20	0.02	255	35	0.885	4.35	0.857	0.025	5.04	no	339.2\\ \hline
72673	5243	22	4.46	0.04	0.60	0.06	-0.41	0.01	249	33	0.696	4.52	0.392	0.007	5.95	no	2021.0\\ \hline
72769	5640	27	4.35	0.04	0.98	0.03	0.30	0.02	254	35	0.994	4.35	1.066	0.023	4.76	no	396.3\\ \hline
73121	6091	16	4.30	0.03	1.34	0.01	0.09	0.01	247	34	1.234	4.18	2.803	0.018	3.64	no	597.7\\ \hline
73256	5526	30	4.42	0.06	1.11	0.04	0.23	0.02	257	34	0.968	4.51	0.686	0.024	5.27	yes	901.5\\ \hline
73524	6017	13	4.43	0.03	1.14	0.01	0.16	0.01	255	35	1.137	4.39	1.489	0.014	4.34	no	576.0\\ \hline
74014	5561	27	4.33	0.04	0.90	0.03	0.22	0.02	256	34	0.938	4.39	0.901	0.028	4.96	no	386.1\\ \hline
75289	6161	21	4.37	0.03	1.29	0.02	0.30	0.01	254	35	1.238	4.35	1.919	0.014	4.04	yes	1165.1\\ \hline
76151	5788	23	4.48	0.02	0.96	0.03	0.12	0.02	256	35	1.037	4.48	0.961	0.013	4.85	no	325.5\\ \hline
78429	5760	19	4.33	0.02	1.01	0.02	0.09	0.01	255	34	0.996	4.28	1.408	0.022	4.44	no	1613.5\\ \hline
78538	5786	13	4.50	0.03	0.98	0.02	-0.03	0.01	247	34	1.022	4.52	0.849	0.041	4.98	no	355.1\\ \hline
78558	5711	18	4.36	0.02	0.99	0.02	-0.44	0.01	254	32	0.814	4.19	1.379	0.029	4.47	no	425.5\\ \hline
78612	5834	14	4.27	0.02	1.14	0.02	-0.24	0.01	253	34	0.946	4.14	1.970	0.040	4.06	no	607.6\\ \hline
78747	5778	18	4.46	0.02	1.03	0.03	-0.67	0.01	240	34	0.756	4.29	1.078	0.023	4.72	no	554.9\\ \hline
80883	5233	35	4.44	0.06	0.80	0.07	-0.25	0.03	260	34	0.734	4.50	0.430	0.024	5.86	no	533.4\\ \hline
81639	5522	20	4.40	0.03	0.79	0.03	-0.17	0.02	251	34	0.829	4.45	0.680	0.029	5.28	no	329.4\\ \hline
82342	4820	61	4.41	0.14	0.30	0.35	-0.54	0.03	253	31	0.616	4.62	0.198	0.015	6.88	no	602.5\\ \hline
82516	5104	60	4.46	0.11	0.71	0.16	0.01	0.04	254	35	0.738	4.48	0.415	0.024	5.94	no	501.3\\ \hline
82943	5989	20	4.43	0.02	1.10	0.02	0.26	0.01	259	33	1.150	4.39	1.479	0.020	4.35	yes	2001.6\\ \hline
83443	5511	45	4.43	0.08	0.93	0.07	0.34	0.03	255	35	0.949	4.39	0.851	0.034	5.04	yes	798.6\\ \hline
83529	5902	12	4.35	0.01	1.11	0.01	-0.22	0.01	254	33	0.958	4.27	1.553	0.020	4.31	no	627.6\\ \hline
85119	5425	25	4.52	0.03	0.93	0.04	-0.20	0.02	255	33	0.982	4.70	0.416	0.039	5.84	no	639.5\\ \hline
85390	5186	54	4.41	0.09	0.75	0.11	-0.07	0.03	254	33	0.758	4.50	0.425	0.025	5.89	no	794.5\\ \hline
85512	4715	102	4.39	0.28	0.23	0.86	-0.32	0.03	237	21	0.742	4.86	0.126	0.008	7.43	no	419.8\\ \hline
86065	5026	60	4.50	0.12	0.91	0.14	-0.06	0.03	256	34	0.838	4.70	0.263	0.041	6.47	no	258.7\\ \hline
86140	4903	59	4.55	0.10	0.31	0.30	-0.25	0.04	254	31	0.759	4.68	0.225	0.027	6.69	no	319.4\\ \hline
86171	5400	20	4.47	0.03	0.81	0.03	-0.25	0.01	249	33	0.828	4.57	0.474	0.035	5.70	no	414.4\\ \hline
87521	4854	74	4.37	0.15	0.76	0.21	-0.04	0.05	256	34	0.708	4.60	0.241	0.035	6.64	no	148.0\\ \hline
88084	5766	11	4.42	0.02	0.96	0.01	-0.10	0.01	253	34	0.930	4.40	1.021	0.025	4.78	no	197.1\\ \hline
88218	5878	14	4.16	0.02	1.23	0.01	-0.14	0.01	254	35	1.022	4.05	2.717	0.017	3.70	no	235.5\\ \hline
88656	5150	34	4.44	0.06	0.81	0.07	-0.11	0.02	255	34	0.731	4.48	0.422	0.041	5.91	no	192.7\\ \hline
88742	5981	13	4.52	0.02	1.07	0.01	-0.02	0.01	253	33	1.076	4.46	1.176	0.014	4.60	no	1247.7\\ \hline
89454	5728	17	4.47	0.03	0.96	0.02	0.12	0.01	257	34	1.033	4.51	0.853	0.035	4.99	no	1159.3\\ \hline
90156	5599	12	4.48	0.02	0.86	0.02	-0.24	0.01	252	33	0.841	4.45	0.719	0.014	5.20	no	373.5\\ \hline
90711	5444	39	4.40	0.06	0.92	0.06	0.24	0.03	254	34	0.928	4.49	0.644	0.026	5.36	no	553.1\\ \hline
